date_stamp,number_of_sampled_rhizome,number_internodes_in_rhizome,new_leaves_number,number_final_branches,number_initial_branches,new_branches_per_branch,date
730561,11,10,3,3,2,0.5,2000-03-16
730561,13,5,2,2,3,-0.333333333,2000-03-16
730561,14,19,3,5,2,1.5,2000-03-16
730561,15,11,4,1,3,-0.666666667,2000-03-16
730561,16,9,1,1,4,-0.75,2000-03-16
730561,17,23,1,1,4,-0.75,2000-03-16
730561,18,30,3,3,4,-0.25,2000-03-16
730561,19,17,2,2,2,0,2000-03-16
730561,20,24,1,8,3,1.666666667,2000-03-16
730575,2,13,2,3,4,-0.25,2000-03-30
730575,3,25,3,3,2,0.5,2000-03-30
730575,4,9,1,2,5,-0.6,2000-03-30
730575,5,32,1,2,1,1,2000-03-30
730575,6,7,3,6,3,1,2000-03-30
730575,7,9,3,7,2,2.5,2000-03-30
730575,8,14,1,3,2,0.5,2000-03-30
730575,9,31,2,3,2,0.5,2000-03-30
730575,10,14,3,9,5,0.8,2000-03-30
730575,11,15,4,7,2,2.5,2000-03-30
730575,13,17,3,2,2,0,2000-03-30
730575,14,19,2,10,2,4,2000-03-30
730575,16,9,4,11,2,4.5,2000-03-30
730575,18,7,5,3,1,2,2000-03-30
730575,19,17,2,8,3,1.666666667,2000-03-30
730589,3,12,1,3,2,0.5,2000-04-13
730589,4,9,4,17,3,4.666666667,2000-04-13
730589,7,11,4,4,2,1,2000-04-13
730589,8,19,2,2,2,0,2000-04-13
730589,10,27,2,1,2,-0.5,2000-04-13
730589,12,17,4,10,4,1.5,2000-04-13
730589,13,18,2,22,2,10,2000-04-13
730603,2,6,2,1,3,-0.666666667,2000-04-27
730603,3,19,2,5,2,1.5,2000-04-27
730603,5,6,1,2,2,0,2000-04-27
730603,6,13,4,2,2,0,2000-04-27
730603,7,22,3,12,3,3,2000-04-27
730603,11,25,3,2,2,0,2000-04-27
730603,12,7,2,3,2,0.5,2000-04-27
730603,13,13,5,8,3,1.666666667,2000-04-27
730603,14,18,1,4,4,0,2000-04-27
730603,15,14,1,2,2,0,2000-04-27
730603,16,16,3,4,1,3,2000-04-27
730603,17,10,2,3,2,0.5,2000-04-27
730603,18,14,1,2,2,0,2000-04-27
730603,19,13,2,1,2,-0.5,2000-04-27
730603,20,13,2,2,3,-0.333333333,2000-04-27
730618,1,8,1,5,5,0,2000-05-12
730618,2,11,2,2,2,0,2000-05-12
730618,4,12,2,1,3,-0.666666667,2000-05-12
730618,5,12,3,1,2,-0.5,2000-05-12
730618,6,8,2,2,2,0,2000-05-12
730618,7,27,2,3,4,-0.25,2000-05-12
730618,8,12,1,3,4,-0.25,2000-05-12
730618,9,6,1,3,3,0,2000-05-12
730618,12,5,3,2,1,1,2000-05-12
730618,13,10,2,1,1,0,2000-05-12
730618,14,9,1,3,2,0.5,2000-05-12
730632,1,13,2,1,1,0,2000-05-26
730632,2,11,2,2,2,0,2000-05-26
730632,4,18,1,1,2,-0.5,2000-05-26
730632,8,16,3,2,2,0,2000-05-26
730632,9,13,3,4,2,1,2000-05-26
730632,10,17,4,4,2,1,2000-05-26
730632,13,12,4,3,3,0,2000-05-26
730632,14,16,2,2,1,1,2000-05-26
730632,16,10,3,2,2,0,2000-05-26
730632,17,13,4,1,1,0,2000-05-26
730632,18,10,3,1,2,-0.5,2000-05-26
730632,20,16,2,1,2,-0.5,2000-05-26
730645,3,21,2,3,2,0.5,2000-06-08
730645,9,21,2,4,1,3,2000-06-08
730645,10,15,2,1,1,0,2000-06-08
730645,11,10,3,2,1,1,2000-06-08
730645,14,11,2,3,2,0.5,2000-06-08
730645,19,21,1,2,2,0,2000-06-08
730645,20,14,1,1,1,0,2000-06-08
730659,5,9,1,2,1,1,2000-06-22
730659,7,14,2,6,3,1,2000-06-22
730659,8,22,1,3,2,0.5,2000-06-22
730659,9,8,1,1,1,0,2000-06-22
730659,10,17,2,2,4,-0.5,2000-06-22
730659,12,15,4,1,1,0,2000-06-22
730659,13,10,4,1,2,-0.5,2000-06-22
730659,15,17,3,2,2,0,2000-06-22
